ID,カテゴリ,問題,正答,誤答1,誤答2,誤答3,解説
190,ディープラーニングの応用例,WaveNetの代表的な利用例として最も適切なものはどれか。,自然な音声波形を生成する音声合成,ネットワーク通信量の異常検知,文章のトピック分類,静止画像の物体検出,WaveNetは、生の音声波形をサンプル単位で自己回帰的に生成するニューラルネットワークとして提案された。過去の音声サンプルから次のサンプルの確率分布を予測し、それを繰り返すことで自然な音声を生成する。Dilated Causal Convolutionを利用することで、比較的広い時間範囲の情報を参照できる。テキスト読み上げなどの音声合成で高品質な波形生成を実現したことで知られている。
191,ディープラーニングの応用例,word2vecのCBOWに関する説明として最も適切なものはどれか。,周辺の文脈単語から中央のターゲット単語を予測する,中央の単語から周辺の文脈単語を予測する,文章中の一部をマスクし、Transformerで双方向に予測する,単語頻度と逆文書頻度から単語の重要度を計算する,CBOW（Continuous Bag-of-Words）は、周辺に現れる複数の単語を入力として、中央のターゲット単語を予測するように学習するWord2Vecの方式である。一方、Skip-gramは中央の単語から周辺単語を予測するため、両者は入出力の関係が逆になる。Word2Vecはこの予測タスクを通じて、似た文脈で使われる単語が近いベクトルを持つような分散表現を学習する。TF-IDFやBERTのMasked Language Modelとは異なる。
192,ディープラーニングの応用例,協力ゲーム理論のシャープレイ値を用いて、各特徴量が予測結果にどの程度寄与したかを説明する手法はどれか。,SHAP,LIME,Anchor,Grad-CAM,SHAP（SHapley Additive exPlanations）は、協力ゲーム理論のシャープレイ値を機械学習モデルの説明へ応用した手法である。特徴量をゲームの参加者、モデルの予測を成果とみなし、さまざまな特徴量の組み合わせを考慮して各特徴量の寄与度を算出する。LIMEは予測対象周辺を単純なモデルで近似する局所説明手法、Anchorは予測が維持される条件をルールとして示す手法、Grad-CAMはCNNの画像判断領域を可視化する手法である。
193,ディープラーニングの応用例,LIMEの説明として最も適切なものはどれか。,説明対象の予測周辺でブラックボックスモデルを単純なモデルにより局所近似する,畳み込み層の勾配から画像中の重要領域を可視化する,ゲーム理論のシャープレイ値により特徴量寄与を求める,モデル内部のAttention Weightだけを説明として利用する,LIME（Local Interpretable Model-agnostic Explanations）は、説明したい入力の近くに複数のサンプルを生成し、それらに対するブラックボックスモデルの予測を、線形モデルなどの単純で解釈しやすいモデルによって局所的に近似する手法である。モデル全体を完全に説明するのではなく、ある1つの予測の周辺でどの特徴が影響したかを示す。勾配を利用した画像可視化はGrad-CAM、ゲーム理論に基づく特徴量寄与の算出はSHAPである。
194,ディープラーニングの応用例,TransformerのAttentionにおけるKeyの役割として最も適切なものはどれか。,Queryとの類似度を計算し、各Valueをどの程度参照するかを決める基準となる,入力を変換せずそのまま保持する,学習されない固定値として利用される,Attentionの最終出力として直接利用される,Self-Attentionでは各トークンからQuery、Key、Valueを生成する。あるQueryと各Keyの類似度を内積などによって計算し、その値をsoftmaxで正規化することでAttention Weightを求める。この重みに基づいてValueを加重和するため、Keyは「どの情報がQueryと関連しているか」を評価するための照合対象として働く。最終的に集約される情報そのものはValueが担う。
195,AIの社会実装に向けて,心電図の波形異常を検知するAIを開発する際、モデル構築前に最初に取り組む内容として最も適切なものはどれか。,実際の波形やラベル、分布を確認し、正常・異常にどのような違いがあるか探索的に把握する,最初から多数の特徴量を追加してモデルを複雑化する,データ内容を確認せずハイパーパラメータ探索を始める,複数のモデルを学習し、最も高精度なものだけを採用する,機械学習プロジェクトでは、いきなり高度なモデルを構築するのではなく、まずデータの内容、品質、分布、欠損、外れ値、ラベルの妥当性などを確認するEDA（探索的データ分析）が重要である。心電図であれば正常波形と異常波形を実際に確認し、判別可能な特徴が存在するか、ラベルに誤りがないかなどを把握する。問題設定やデータ品質に問題があれば、モデル改善だけでは解決できないため、最初の段階で確認する必要がある。
196,AIに関する法律と契約,要配慮個人情報に関する説明として最も不適切なものはどれか。,人種や病歴は要配慮個人情報には該当しない,不当な差別や偏見などにつながるおそれがある情報として特に配慮が求められる,取得には原則として本人の同意が必要となる,病歴は要配慮個人情報に含まれる,要配慮個人情報は、本人に対する不当な差別、偏見その他の不利益が生じないように取扱いに特に配慮が必要とされる個人情報である。人種、信条、社会的身分、病歴、犯罪の経歴などが含まれ、原則として取得には本人の同意が必要となる。したがって「人種や病歴は要配慮個人情報に該当しない」という記述が不適切である。
197,ディープラーニングの応用例,Atrous Convolutionの説明として最も適切なものはどれか。,畳み込みカーネルの要素間に間隔を設け、パラメータ数を大きく増やさずに受容野を拡大する,全結合層の重みを共有してモデルを軽量化する,入力データの特徴量数を直接削減する,ストライドを大きくして特徴マップの解像度を下げる,Atrous ConvolutionはDilated Convolutionとも呼ばれ、畳み込みカーネルの要素の間に間隔を設けて入力を参照することで、カーネルサイズやパラメータ数を大きく増やさずに広い受容野を確保する手法である。画像の解像度を保ちながら広い文脈情報を取り込みたいセマンティックセグメンテーションなどで利用される。ストライドを大きくする方法とは異なり、特徴マップの空間解像度を維持しやすい点が特徴である。
198,AIに関する法律と契約,AI生成物と既存著作物との関係について、著作権侵害の判断として最も適切なものはどれか。,既存著作物との表現上の類似性があり、その著作物への依拠性も認められる場合は著作権侵害となる可能性がある,AIによる処理を経ていれば常に新規の著作物として扱われる,学習サービスの利用規約でAI利用が認められていれば、生成物について第三者の著作権を考慮する必要はない,AI生成物は著作権法では扱われず、業界の自主規制だけが適用される,AI生成物であっても、既存著作物との著作権侵害の判断では、既存著作物の創作的表現と似ているという類似性と、その著作物に基づいて作成されたといえる依拠性が重要となる。AIを利用したという理由だけで著作権法の適用外になるわけではない。また、サービス利用規約はサービス提供者との契約関係であり、第三者が持つ著作権を当然に消滅させるものではない。
199,ディープラーニングの要素技術,誤差逆伝播法で出力層から入力層へ勾配を伝播させる際に使われる数学的原理として最も適切なものはどれか。,微分の連鎖律,ヘッセ行列,最小二乗法,中心極限定理,誤差逆伝播法は、ニューラルネットワークを複数の関数が合成されたものとして捉え、微分の連鎖律を使って損失関数の勾配を出力層側から入力層側へ効率的に計算する方法である。各層で求めた微分結果を次の計算へ再利用できるため、大量のパラメータを持つネットワークでも効率よく勾配を求められる。得られた勾配はSGDやAdamなどの最適化アルゴリズムによる重み更新に使われる。
202,ディープラーニングの応用例,SHAPの説明として最も適切なものはどれか。,協力ゲーム理論のシャープレイ値を利用して各特徴量の予測への寄与度を算出する,入力周辺を線形モデルで近似して局所説明を行う,予測が維持される条件をif-then形式のルールで示す,訓練データを除いたときのパラメータ変化だけを評価する,SHAPは協力ゲーム理論のシャープレイ値を用いて、各特徴量がモデルの予測へどの程度寄与したかを算出する説明手法である。特徴量をゲームの参加者、予測値を成果とみなし、さまざまな特徴量の組み合わせを考慮して寄与を公平に分配する。LIMEは局所近似、Anchorは条件付きルールによる説明、Influence Functionsは訓練データが予測やパラメータに与える影響を分析する手法であり、SHAPとは異なる。
205,AI倫理・AIガバナンス,心電図異常検知モデルの開発を始める際、最初に行う対応として最も適切なものはどれか。,実際の波形やラベルを確認し、データ分布や正常・異常の特徴差を把握する,最初から特徴量を大量に追加する,データ確認をせず高性能モデルの学習を開始する,複数のモデルを先に比較して最高精度のものを選ぶ,異常検知モデルを開発する場合でも、まずEDAによってデータの性質を理解することが重要である。心電図の正常波形と異常波形に目視できる違いがあるか、ラベルに誤りがないか、患者ごとの偏り、ノイズ、欠損、測定条件の違いなどを確認する。データに問題がある状態で高度なモデルやハイパーパラメータ探索を行っても、正しい性能評価や改善につながらない可能性がある。
206,ディープラーニングの応用例,要配慮個人情報に関する説明として最も不適切なものはどれか。,人種や病歴は要配慮個人情報に含まれない,不当な差別や偏見などを防ぐため特に慎重な取扱いが求められる,取得には原則として本人の同意が必要である,病歴は要配慮個人情報に該当する,要配慮個人情報には、人種、信条、社会的身分、病歴、犯罪の経歴など、本人に対する不当な差別や偏見などにつながるおそれがある情報が含まれる。通常の個人情報より慎重な取扱いが求められ、原則として取得には本人の同意が必要となる。したがって「人種や病歴は要配慮個人情報に含まれない」という説明が誤りである。
207,ディープラーニングの応用例,Atrous Convolutionの説明として最も適切なものはどれか。,畳み込みカーネルに間隔を設けることで、空間解像度を大きく落とさず受容野を広げる,全結合層で同じ重みを共有する,入力特徴量の次元数を削減する,ストライドを大きくして特徴マップを縮小する,Atrous ConvolutionはDilated Convolutionとも呼ばれ、カーネル要素の間隔を空けて畳み込みを行うことで、パラメータ数を大幅に増やさずに受容野を拡大する手法である。通常のストライド拡大やPoolingでは特徴マップの解像度が下がるが、Atrous Convolutionでは比較的高い空間解像度を保ったまま広い文脈を取り込めるため、セマンティックセグメンテーションなどで利用される。
208,AIに関する法律と契約,生成AIが作成した文章や画像が既存著作物と類似している場合、著作権侵害の判断で特に重要となる要素として最も適切なものはどれか。,既存著作物への依拠性と表現上の類似性,AIが生成したという事実だけで著作権侵害になる,利用規約に同意していれば既存著作物を自由に利用できる,生成物が新規に作成されていれば著作権上の問題は生じない,著作権侵害が成立するかを判断する際には、既存著作物の創作的表現と生成物が似ているという類似性に加え、その既存著作物に基づいて作成されたといえる依拠性が重要となる。生成AIを利用した場合でも、既存著作物との関係は基本的にこれらの観点から検討される。単にAIが生成したというだけで侵害になるわけではなく、逆にAI生成物だから自由に利用できるわけでもない。また、サービスの利用規約はサービス提供者との契約条件であり、第三者が持つ著作権まで消滅させるものではない。
209,ディープラーニングの要素技術,誤差逆伝播法で、損失関数から各層のパラメータに対する勾配を求める際に利用される数学的原理はどれか。,微分の連鎖律,ヘッセ行列の固有値分解,線形回帰の最小二乗法,中心極限定理,誤差逆伝播法（Backpropagation）は、ニューラルネットワークを構成する複数の関数の合成を微分するために連鎖律を利用する。出力層側で求めた損失の勾配を入力層側へ順に伝え、中間で計算した微分結果を再利用することで、多数のパラメータに対する勾配を効率的に求められる。求めた勾配はSGDやAdamなどの最適化アルゴリズムによる重み更新に利用される。
210,ディープラーニングの要素技術,Batch Normalizationの主な目的として最も適切なものはどれか。,ミニバッチごとに中間表現を正規化し、ニューラルネットワークの学習を安定化しやすくする,モデルのパラメータ数を減らして推論を軽量化する,ネットワークの重みを学習前の値に初期化する,入力データを変換して学習サンプル数を増やす,Batch Normalizationは、学習時にミニバッチごとの平均と分散を使って中間表現を正規化し、その後に学習可能なスケールとシフトを適用する手法である。各層に入力される値のスケールを整えることで学習を安定化し、比較的大きな学習率を使いやすくしたり収束を速めたりする効果が期待できる。初期には内部共変量シフトを抑えることが主な説明とされたが、現在ではそれだけが効果の理由ではないと考えられている。過学習抑制の副次的効果が生じる場合はあるが、必ず防げるわけではない。
211,ディープラーニングの要素技術,多クラス分類でSoftmax関数を出力層に用いる主な目的として最も適切なものはどれか。,各クラスのスコアを、合計が1となる確率分布として表現する,連続値をそのまま出力する回帰専用関数として利用する,深いネットワークで勾配消失を直接防ぐ,重みにペナルティを加えて過学習を抑える,Softmax関数は、複数の実数値スコアを0から1の範囲へ変換し、その合計が1になるよう正規化する関数である。そのため、排他的な多クラス分類では各クラスに属する予測確率を表すためによく利用される。通常はCross Entropy損失と組み合わせて学習する。勾配消失を緩和する目的ではReLU系の活性化関数などが利用され、重みにペナルティを加えるのはL1・L2正則化である。
212,ディープラーニングの応用例,TransformerがRNNベースの系列モデルと比べて持つ利点として最も適切なものはどれか。,Self-Attentionによって系列内の要素間の関係を直接計算でき、学習時に並列処理しやすい,前の時刻の隠れ状態を順番に計算することで並列処理しやすい,固定サイズの畳み込みだけを使って長距離依存関係を表現する,各トークンを他のトークンと無関係に独立処理する,TransformerではSelf-Attentionを用いて、系列内の各トークン同士の関係を直接計算する。RNNのように前の時刻の隠れ状態を計算してから次へ進む必要がないため、学習時には系列を並列処理しやすい。また、離れた位置のトークン同士の依存関係も直接扱いやすい。CNNも系列処理に利用できるが、通常は局所的な受容野を重ねて依存関係を捉える点でSelf-Attentionとは異なる。
214,ディープラーニングの応用例,LIMEとSHAPの違いとして最も適切なものはどれか。,LIMEは予測対象の近傍を単純なモデルで局所近似し、SHAPはゲーム理論のシャープレイ値に基づいて特徴量寄与を算出する,LIMEはモデル全体だけを説明し、SHAPは局所説明には利用できない,LIMEとSHAPは理論的にも計算方法も完全に同じである,SHAPはニューラルネットワークの勾配だけを使って特徴量寄与を求める,LIMEは、説明したい予測の周辺に人工的なデータを生成し、その近傍で元モデルの挙動を線形モデルなどの単純なモデルで近似して説明する手法である。一方SHAPは、協力ゲーム理論のシャープレイ値を応用し、各特徴量が予測結果にどれだけ寄与したかを算出する。どちらも個別予測の説明に利用できるが、理論的な基盤と寄与度の求め方が異なる。
215,AIの社会実装に向けて,Dockerの説明として最も適切なものはどれか。,アプリケーションとその依存環境をコンテナとしてまとめ、実行環境を再現しやすくする技術,機械学習モデルの実験履歴だけを管理するツール,プロジェクトのタスクや進捗だけを管理するツール,ニューラルネットワーク計算専用のハードウェア,Dockerは、アプリケーション本体だけでなく必要なライブラリや設定などの実行環境をコンテナとしてまとめる技術である。同じコンテナイメージを使うことで、開発環境、テスト環境、本番環境などで同じソフトウェア環境を再現しやすくなる。仮想マシンと比べて一般に軽量で起動が速く、MLOpsやWebサービスのデプロイなどでも広く利用されている。
216,ディープラーニングの要素技術,VAEの特徴として最も不適切なものはどれか。,生成器と識別器を競わせる敵対的学習を行う,潜在変数を確率分布として扱う,再構成誤差を考慮して学習する,KLダイバージェンスを利用して潜在分布を事前分布へ近づける,VAE（Variational Autoencoder）は、入力をEncoderで潜在分布のパラメータへ変換し、そこから潜在変数をサンプリングしてDecoderで入力を再構成する生成モデルである。学習では再構成誤差に加えて、潜在分布を標準正規分布などの事前分布へ近づけるKLダイバージェンスを利用する。一方、生成器と識別器を競わせる敵対的学習はGANの特徴であり、VAEの基本構造には含まれない。
217,ディープラーニングの要素技術,CNNの畳み込みフィルタ数やフィルタサイズを設計する際の考え方として最も適切なものはどれか。,特徴抽出能力と計算量・パラメータ数などのトレードオフを考慮する,フィルタ数は多いほど必ず汎化性能が向上する,フィルタサイズは大きいほど必ず高精度になる,フィルタ数を減らすほど必ず過学習が起こる,CNNではフィルタ数を増やすと多様な特徴を表現しやすくなる一方、パラメータ数や計算量、メモリ使用量が増える。フィルタサイズを大きくすると一度に広い範囲を参照できるが、計算コストも増えやすい。そのため、精度、モデル容量、計算資源、過学習リスクなどのバランスを考えて設計する必要がある。単純にフィルタ数やサイズを増やせば必ず性能が向上するわけではない。
218,ディープラーニングの要素技術,RLHFで、人間の選好を学習へ反映するための代表的な工程として最も適切なものはどれか。,人間によるランキングデータ収集,事前学習データの追加収集,AI自身による応答の自動ランキング,報酬モデルによる評価データの自動生成,RLHF（Reinforcement Learning from Human Feedback）は、人間の評価や選好をモデル改善に利用する枠組みである。代表的な流れでは、まず事前学習済みモデルを指示データなどで調整し、そのモデルが生成した複数の応答を人間が比較・順位付けする。その選好データから報酬モデルを学習し、その報酬を用いて強化学習によってモデルを改善する。実装によって工程は異なるため、「人間ランキング収集が常に最初の工程」と断定するより、選好データを利用することが重要である。
219,AI倫理・AIガバナンス,AIプロジェクトの進め方として最も不適切なものはどれか。,目的・評価指標・予算・リスクを明確にせず、モデル開発だけを先行させる,利用者や関係者から継続的にフィードバックを収集する,技術・業務・倫理など異なる視点を持つ人材を参加させる,必要なデータの質や量を事前に確認する,AIプロジェクトは、通常のシステム開発以上にデータ品質やモデル性能に不確実性がある。そのため、何を解決するのか、どの指標で成功と判断するのか、必要なデータを確保できるか、費用対効果や倫理・法的リスクをどう評価するかを事前に整理することが重要である。モデルを作ること自体が目的になると、PoCには成功しても本番導入へ進めない「PoCの死の谷」に陥る可能性がある。
220,ディープラーニングの要素技術,L2正則化の強さを表すλを大きくした場合に一般的に起こる傾向として最も適切なものはどれか。,モデルが単純化され、バイアスは増えやすくバリアンスは減りやすい,モデルが複雑化され、バイアスは減りバリアンスは増えやすい,バイアスとバリアンスが必ず同時に減少する,モデルの複雑さにはまったく影響しない,L2正則化では、損失関数に重みの二乗和へ比例するペナルティを加える。λを大きくすると大きな重みがより強く抑制され、モデルは単純な関数を選びやすくなる。その結果、訓練データへの適合度が低下してバイアスが増える一方、データ変動に対するモデルの敏感さが下がってバリアンスが減る傾向がある。これはバイアス・バリアンスのトレードオフの一例である。
221,機械学習の概要,デンドログラムが主に利用される分析手法として最も適切なものはどれか。,階層的クラスタリング,主成分分析,線形回帰,強化学習,デンドログラムは、階層的クラスタリングにおいてデータやクラスタがどの順番で統合・分割されていくかを木構造で表現した図である。凝集型階層クラスタリングでは、最初は各データを別々のクラスタとして扱い、類似したクラスタを順次統合する。その結合関係をデンドログラムで確認することで、データ同士の類似性や適切なクラスタ数を検討できる。
225,AI倫理・AIガバナンス,Privacy by Designの考え方として最も適切なものはどれか。,システムやサービスの企画・設計段階からプライバシー保護を組み込む,本番運用後に問題が起きた場合だけ対策を追加する,個人情報漏えいが発生してから初めて保護策を検討する,プライバシー保護を利用者個人の責任だけにする,Privacy by Designは、システムを完成させた後にプライバシー対策を追加するのではなく、企画や要件定義、設計の段階から個人情報保護を組み込む考え方である。必要最小限のデータだけを収集する、保存期間を制限する、アクセス権限を適切に設定するなどの対策を初期段階から設計することで、プライバシーリスクを低減する。
226,ディープラーニングの要素技術,L2正則化の効果として最も適切なものはどれか。,大きな重みにペナルティを与え、モデルの複雑さを抑えて過学習を軽減する,入力特徴量を自動的に増やす,学習データの件数を増やす,モデルの予測精度を必ず向上させる,L2正則化は、損失関数に重みの二乗和へ比例するペナルティを追加することで、極端に大きな重みを取りにくくする手法である。これによりモデルの複雑さを抑え、訓練データへの過度な適合を防いで汎化性能の向上を狙う。正則化を強くしすぎると未学習につながることもあるため、正則化強度の調整が必要である。精度向上が常に保証されるわけではない。
227,ディープラーニングの応用例,CNNにおける畳み込みフィルタの主な役割として最も適切なものはどれか。,画像の局所領域からエッジや模様などの特徴を抽出する,入力から確率分布を直接生成する,長期的な時系列依存関係を保持する,損失関数を直接最小化する,CNNの畳み込みフィルタは、画像の局所領域に同じ重みを適用しながら移動し、エッジ、線、模様、テクスチャなどの特徴を抽出する。複数のフィルタを使うことで異なる種類の特徴を学習し、層を重ねることでより高次で抽象的な特徴を表現できる。長期的な系列依存を扱うのはRNNやTransformerなどが中心であり、損失関数の最小化は最適化アルゴリズムの役割である。
228,ディープラーニングの応用例,TransformerのAttentionにおけるKeyの役割として最も適切なものはどれか。,Queryとの類似度を計算し、各Valueをどの程度参照するかを決める基準となる,各トークンの最終出力そのものとして利用される,学習中に変更されない固定値として保持される,損失関数の値を直接計算する,Self-Attentionでは各トークンからQuery、Key、Valueを生成する。あるQueryと各Keyの類似度を内積などで計算し、softmaxで正規化することでAttention Weightを求める。その重みに基づいてValueを加重和するため、Keyは「どの情報がQueryに関連しているか」を判断するための照合対象として働く。最終的に集約される情報そのものは主にValueが担う。
230,人工知能とは,人工知能の説明として最も適切なものはどれか。,人間の知的行動をコンピュータで模倣する技術,人間が設定した規則だけに従って情報を処理する技術,大量のデータを保存・検索することを目的とする技術,コンピュータ間で情報を高速に通信するための技術,人工知能は、人間が行う知覚、学習、推論、言語理解、問題解決などの知的活動を機械によって実現・支援することを目指す技術や研究分野の総称である。機械学習やディープラーニングはAIを実現するための主要な方法だが、AIはそれらだけに限定されない。探索、知識表現、推論、ルールベースシステムなどもAI研究に含まれる。
231,機械学習の概要,教師あり学習の説明として最も不適切なものはどれか。,正解ラベルを使わず、データ内部の構造だけを発見する学習方式である,入力データと正解ラベルの組を使って学習する,分類や回帰に利用される,入力と目的変数との関係を学習する,教師あり学習は、入力データとそれに対応する正解ラベルや目的変数を用いて学習する方法である。分類ではカテゴリラベル、回帰では連続値を予測対象として利用する。正解ラベルを使わずにデータ内部の構造や類似性を発見する方法は教師なし学習に該当するため、この説明が不適切である。
232,ディープラーニングの概要,ディープラーニングは、主に（　）を多層化し、入力データから階層的な特徴表現を学習する手法である。,ニューラルネットワーク,決定木,ルールベースシステム,k-means,ディープラーニングは、多数の層を持つニューラルネットワークを用いて、入力データから特徴表現を階層的に学習する機械学習手法である。画像認識では浅い層でエッジや模様などの低レベル特徴を学習し、深い層で物体の部品や物体全体などの高レベル特徴を学習する。決定木やk-meansも機械学習手法だが、これらを多層化することを一般にディープラーニングとは呼ばない。
233,AI倫理・AIガバナンス,AIの公平性（Fairness）を確保するための考え方として最も適切なものはどれか。,特定の属性を持つ個人や集団に不当な不利益が生じないよう、データやモデルを評価・設計する,全体の予測精度だけが高ければ公平性は確保される,属性情報を削除すれば必ずバイアスは解消される,AIの判断では人間による監督は不要である,AIの公平性（Fairness）は、性別、年齢、人種などの属性によって特定の個人や集団が不当に不利益を受けないようにする考え方である。学習データに過去の社会的偏りや属性ごとのデータ数の偏りが含まれていると、モデルがそのバイアスを学習する可能性がある。また、属性情報そのものを削除しても、住所や職歴などの代理変数から属性の影響が残る場合がある。そのため、データ収集、モデル設計、属性ごとの性能評価、運用後の監視まで含めて公平性を確認する必要がある。
234,AIの社会実装に向けて,アジャイル開発の特徴として最も適切なものはどれか。,短い開発サイクルで設計・実装・評価を繰り返し、変化に柔軟に対応する,開発開始時にすべての仕様を確定し、その後は変更しない,すべての機能を完成させた後に初めて利用者から評価を受ける,設計工程とテスト工程を完全に分離して順番に一度だけ実施する,アジャイル開発は、短い期間ごとに設計、実装、テスト、評価を繰り返しながら製品を改善する開発手法である。Scrumではこの短い開発期間をスプリントと呼び、各スプリントで利用可能な成果物を作成する。開発途中で得られた利用者のフィードバックや要件変更を次のサイクルへ反映しやすい点が特徴である。最初にすべての仕様を固定して工程を順番に進めるウォーターフォール型とは考え方が異なる。
236,ディープラーニングの概要,ディープラーニングの基盤となるモデルとして最も適切なものはどれか。,多数の層を持つニューラルネットワーク,決定木を多数組み合わせたモデル,カーネル法を利用した機械学習モデル,類似したデータをグループ化するモデル,ディープラーニングは、多数の層を持つニューラルネットワークを用いて特徴表現を階層的に学習する機械学習手法である。画像認識では浅い層でエッジや色などの低レベル特徴を学習し、深い層では物体の部品や物体全体など、より抽象的な特徴を学習する。決定木やSVMも機械学習の代表的手法だが、通常それらを用いること自体をディープラーニングとは呼ばない。
237,AI倫理・AIガバナンス,AI開発の進め方として最も不適切なものはどれか。,学習データに含まれる偏りを確認せず、そのままモデルを学習・導入する,学習データに属性ごとの偏りがないか確認する,社会的影響や倫理的リスクを事前に評価する,重要な判断で説明可能性や人間の監督を検討する,AIは学習データに含まれる傾向を学習するため、データの偏りを確認せず利用すると、特定の属性に不利な判断や現実と合わない予測を行う可能性がある。公平性や安全性を確保するには、データの代表性やバイアスを確認し、属性別の性能評価、倫理リスクの検討、必要に応じた説明可能性や人間による監督などを組み込むことが重要である。精度だけでなく社会的影響まで含めて開発することがAIガバナンスの基本となる。
238,ディープラーニングの要素技術,TransformerにおけるSelf-Attentionの説明として最も適切なものはどれか。,系列内の各トークン間の関連度を直接計算し、必要な情報を重み付けして集約する,前の時刻の隠れ状態を順番に更新して系列を処理する,固定サイズの畳み込みフィルタだけで局所的な情報を処理する,各トークンを他のトークンとは無関係に独立して処理する,Self-Attentionは、系列内の各トークンからQuery、Key、Valueを作成し、QueryとKeyの類似度からAttention Weightを求め、その重みに基づいてValueを集約する仕組みである。これにより、各トークンが文中のどの情報を重視すべきかを学習できる。RNNのように前の時刻の計算結果を待つ必要がないため、学習時には並列処理しやすく、離れた位置のトークン間の依存関係も直接扱える。
240,ディープラーニングの要素技術,LSTMが従来のRNNより長い系列を扱いやすい主な理由はどれか。,ゲート機構によって必要な情報の保持・更新・忘却を制御し、長期依存関係を学習しやすくする,すべての時刻を完全に独立して処理する,勾配計算を行わずに系列を学習する,過去の情報を毎時刻すべて初期化する,LSTM（Long Short-Term Memory）は、従来のRNNで長い系列を扱う際に起こりやすい勾配消失を緩和し、長期依存関係を学習しやすくするために設計された。入力ゲート、忘却ゲート、出力ゲートなどによって、どの情報を新しく記憶し、どの情報を保持・忘却し、どの情報を出力するかを制御する。この仕組みにより、系列の前半に現れた重要な情報を後半まで保持しやすくなる。
241,ディープラーニングの要素技術,Adam最適化手法の特徴として最も適切なものはどれか。,勾配の1次モーメントと2次モーメントを利用し、パラメータごとに学習率を適応的に調整する,勾配を利用せずランダムにパラメータを更新する,すべてのパラメータに常に同じ固定更新量を適用する,モデルの特徴量を削除して最適化する,Adamは、勾配の指数移動平均である1次モーメントと、勾配の二乗の指数移動平均である2次モーメントを利用する最適化手法である。Momentumのように過去の勾配方向を活用しつつ、各パラメータの勾配の大きさに応じて実質的な学習率を調整する。初期の移動平均が0に偏る影響を補正するバイアス補正も行う。SGDより少ない調整で安定して学習しやすいため広く利用されている。
242,AIに関する法律と契約,GDPRの説明として最も適切なものはどれか。,EUにおける個人データの保護と取扱いを定める一般データ保護規則,日本国内の著作物の利用条件だけを定める法律,米国企業の財務報告方法を定める会計基準,インターネット通信方式を定める技術規格,GDPR（General Data Protection Regulation）は、EUにおける個人データの取得、利用、保存、移転などの取扱いを規定する一般データ保護規則である。データ主体にはアクセス権、訂正権、消去を求める権利などが認められている。また一定の条件ではEU域外の企業にも適用される。著作権や通信規格ではなく、個人データ保護を目的とする法制度である。
243,ディープラーニングの要素技術,Dropoutの目的として最も適切なものはどれか。,学習時に一部のニューロンをランダムに無効化し、特定のユニットへの依存を抑えて過学習を防ぐ,重みの大きさにペナルティを加えて過学習を抑える,入力データに変換を加えて学習データの多様性を増やす,検証性能が悪化した時点で学習を終了する,Dropoutは、ニューラルネットワークの学習時に一定確率で一部のユニットをランダムに無効化する正則化手法である。これにより特定のユニット同士が強く依存する共適応を抑え、複数の異なるサブネットワークを学習しているような効果を得ることで汎化性能向上を狙う。重みにペナルティを加えるのはL1・L2正則化、入力を変換するのはデータ拡張、学習を途中で停止するのはEarly Stoppingである。
244,機械学習の概要,交差検証（Cross Validation）の目的として最も適切なものはどれか。,複数のデータ分割で学習と評価を繰り返し、モデルの汎化性能を安定して評価する,データを学習用とテスト用に一度だけ分割して評価する,重複を許して標本を抽出し、複数モデルを統合する,複数のモデルを固定した別々のデータ群だけで学習する,交差検証は、データを複数の部分に分け、学習用と検証用の役割を入れ替えながら複数回モデルを評価する方法である。代表的なk分割交差検証では、データをk個に分け、そのうち1つを検証用、残りを学習用としてk回評価する。単一の分割だけを使うホールドアウト法よりも分割の偶然性による影響を抑えやすく、特にデータ量が限られている場合に有効である。
245,機械学習の概要,混同行列におけるFalse Negative（FN）が意味するものはどれか。,実際には陽性だが、モデルが陰性と予測したケース,実際にも陽性で、モデルも陽性と予測したケース,実際には陰性だが、モデルが陽性と予測したケース,実際にも陰性で、モデルも陰性と予測したケース,False Negativeは、実際には陽性であるにもかかわらずモデルが陰性と誤って判定したケースであり、「見逃し」に相当する。医療診断で病気を見逃す場合などが代表例である。True Positiveは実際も予測も陽性、False Positiveは実際は陰性だが陽性と誤判定、True Negativeは実際も予測も陰性である。RecallはTP÷（TP＋FN）で求められるため、FNを減らすとRecallが高くなる。
246,ディープラーニングの応用例,TransformerにおけるPositional Encodingの役割として最も適切なものはどれか。,系列内の各トークンに位置・順序情報を与える,各層の中間表現を正規化する,重要度の低い特徴量を削除する,未来のトークンへのAttentionだけを遮断する,TransformerのSelf-Attentionは、トークン同士の関係を計算できる一方、入力された順序そのものを自動では区別しない。そのためPositional Encodingをトークン埋め込みに加え、各トークンが系列の何番目にあるかという位置情報を与える。元のTransformerでは正弦波と余弦波を用いた位置エンコーディングが採用された。未来のトークンを参照できないようにする処理はCausal Maskの役割である。
