大分類,カテゴリ,項目No,項目名,キーワード,意味
技術分野,ディープラーニングの要素技術,18,畳み込み層,Depthwise Separable Convolution,チャネルごとに独立に畳み込みを行うDepthwiseと一×一畳み込みのPointwiseを組み合わせ計算量を削減した畳み込み
技術分野,ディープラーニングの要素技術,18,畳み込み層,Dilated Convolution,フィルタを一定間隔で拡張して適用し間引いた位置の入力を参照することで広い範囲の情報を少ないパラメータで捉える畳み込み
技術分野,ディープラーニングの要素技術,18,畳み込み層,カーネル,入力の局所領域に対して掛け合わせる小さな重み行列で特徴抽出を行うフィルタのパラメータ集合
技術分野,ディープラーニングの要素技術,18,畳み込み層,ストライド,畳み込みやプーリングの際にフィルタをどれだけのピクセル数ずつ移動させるかを表す歩幅
技術分野,ディープラーニングの要素技術,18,畳み込み層,畳み込み操作,カーネルを入力の局所領域に滑らせながら位置ごとに重み付き和を計算し出力を得る演算
技術分野,ディープラーニングの要素技術,18,畳み込み層,畳み込みニューラルネットワーク (CNN),畳み込み層やプーリング層を用いて画像などの空間構造を利用しながら特徴抽出と分類を行うニューラルネットワーク
技術分野,ディープラーニングの要素技術,18,畳み込み層,特徴マップ,畳み込みやプーリングの結果として得られる各位置ごとの特徴量を並べた出力の二次元または三次元配列
技術分野,ディープラーニングの要素技術,18,畳み込み層,パディング,畳み込みの前に入力の周囲にゼロなどの値を追加して出力サイズを調整したり端の情報を保ったりする処理
技術分野,ディープラーニングの要素技術,18,畳み込み層,フィルタ,入力から特定のパターンを検出するための小さな重み行列でカーネルとも呼ばれる
技術分野,ディープラーニングの要素技術,19,正規化層,グループ正規化,チャネルをいくつかのグループに分けグループごとに平均と分散で正規化する手法でバッチサイズに依存しにくい
技術分野,ディープラーニングの要素技術,19,正規化層,バッチ正規化,同一ミニバッチ内の各チャネルについて平均と分散を求め正規化することで勾配伝播を安定させ学習を速くする手法
技術分野,ディープラーニングの要素技術,19,正規化層,レイヤー正規化,各サンプルごとに層内の全ニューロンの出力を平均と分散で正規化する方法で系列長やバッチサイズの影響を受けにくい
技術分野,ディープラーニングの要素技術,19,正規化層,インスタンス正規化,各サンプル各チャネルごとに空間方向の平均と分散をとって正規化する手法でスタイル変換などに用いられる
技術分野,ディープラーニングの要素技術,20,プーリング層,グローバルアベレージプーリング (GAP),特徴マップの空間方向全体の平均をチャネルごとに一つの値にまとめ特徴ベクトルに変換するプーリング
技術分野,ディープラーニングの要素技術,20,プーリング層,最大値プーリング,局所領域内の値のうち最大のものだけを残すプーリングで強い特徴を抽出し位置ずれに強くする
技術分野,ディープラーニングの要素技術,20,プーリング層,不変性の獲得,入力が小さく平行移動回転伸縮しても出力が大きく変わらない性質を持たせること
技術分野,ディープラーニングの要素技術,20,プーリング層,平均値プーリング,局所領域内の値の平均をとって代表値とするプーリングでノイズをならしつつ情報を圧縮する
技術分野,ディープラーニングの要素技術,21,スキップ結合,ResNet,中間層の出力に入力を足し合わせる残差ブロックを積み重ね非常に深いネットワークでも勾配が伝播しやすい構造を持つ畳み込みネットワーク
技術分野,ディープラーニングの要素技術,22,回帰結合層,BPTT,時系列方向に展開したリカレントネットワークに対して時間方向も含めて誤差逆伝播を行う学習アルゴリズム
技術分野,ディープラーニングの要素技術,22,回帰結合層,GRU,ゲートを用いて入力と過去状態のどちらをどれだけ残すかを制御し長期依存を扱いやすくした簡略化されたリカレントユニット
技術分野,ディープラーニングの要素技術,22,回帰結合層,LSTM,セル状態と複数のゲートを使って重要な情報を長く保持し勾配消失を起こしにくくしたリカレントネットワーク構造
技術分野,ディープラーニングの要素技術,22,回帰結合層,エルマンネットワーク,隠れ層の出力を一部コピーして次の時刻の入力に戻すことで簡単な記憶機能を持たせた初期のリカレントネットワーク
技術分野,ディープラーニングの要素技術,22,回帰結合層,勾配消失問題,時系列方向に誤差を逆伝播する際に勾配が指数的に小さくなり前の時刻のパラメータがほとんど更新されなくなる問題
技術分野,ディープラーニングの要素技術,22,回帰結合層,勾配爆発問題,時系列方向に誤差を逆伝播する際に勾配が極端に大きくなり学習が不安定になったり発散してしまう問題
技術分野,ディープラーニングの要素技術,22,回帰結合層,教師強制,系列生成モデルの学習時に前時刻の入力としてモデルの予測ではなく正解ラベルを与える手法
技術分野,ディープラーニングの要素技術,22,回帰結合層,ゲート機構,入力や過去状態などの情報をどれだけ通すかをゼロから一の係数で制御し不要な情報を遮断する仕組み
技術分野,ディープラーニングの要素技術,22,回帰結合層,双方向 RNN (Bidirectional RNN),系列を順方向と逆方向の二つのRNNで処理し過去と未来の両方の文脈を利用して特徴を表現するネットワーク
技術分野,ディープラーニングの要素技術,22,回帰結合層,時系列データ,時間の順序に沿って観測される連続したデータで過去の値が将来の値に影響する性質を持つデータ
技術分野,ディープラーニングの要素技術,22,回帰結合層,ジョルダンネットワーク,出力層の値を一部コピーして次の時刻の入力に戻すことでコンテキストを保持するリカレントネットワーク
技術分野,ディープラーニングの要素技術,22,回帰結合層,リカレントニューラルネットワーク (RNN),時刻ごとに同じネットワークを繰り返し使い前の状態を次の入力に渡すことで系列データを扱うニューラルネットワーク
技術分野,ディープラーニングの要素技術,23,Attention,Attention,入力系列の各要素の重要度に応じて重み付けし必要な部分に計算資源を集中させる仕組み
技術分野,ディープラーニングの要素技術,23,Attention,Multi-Head Attention,複数の異なる空間で並行してAttentionを計算しそれぞれ異なる側面の関係を学習させる仕組み
技術分野,ディープラーニングの要素技術,23,Attention,Self-Attention,同じ系列内の要素同士の関係に基づいて各位置が他の位置をどれだけ参照するかを計算するAttention
技術分野,ディープラーニングの要素技術,23,Attention,Seq2Seq,入力系列を固定長のベクトルなどに符号化しそこから別の系列を復号するエンコーダデコーダ型のモデル枠組み
技術分野,ディープラーニングの要素技術,23,Attention,Source-Target Attention,デコーダ側の各時刻がエンコーダ側の出力系列のどの部分にどれだけ注意を向けるかを計算するAttention
技術分野,ディープラーニングの要素技術,23,Attention,Transformer,自己Attentionと位置エンコーディングを中心に構成された再帰や畳み込みを使わない系列処理用のニューラルネットワーク
技術分野,ディープラーニングの要素技術,23,Attention,位置エンコーディング,系列内での単語の順序情報をベクトルとして表現しトークン埋め込みに加えることで位置情報をモデルに与える方法
技術分野,ディープラーニングの要素技術,23,Attention,キー,Attentionにおいてクエリからの類似度を計算する対象側の特徴ベクトル
技術分野,ディープラーニングの要素技術,23,Attention,クエリ,Attentionにおいてどの情報を探しているかを表す問い合わせ側の特徴ベクトル
技術分野,ディープラーニングの要素技術,23,Attention,バリュー,Attentionにおいて実際に重み付き和をとる元となる情報の特徴ベクトル
技術分野,ディープラーニングの要素技術,24,オートエンコーダ,VQ-VAE,連続潜在変数の代わりに有限個のコードブックから離散的潜在ベクトルを選ぶ仕組みを導入した変分オートエンコーダ
技術分野,ディープラーニングの要素技術,24,オートエンコーダ,info VAE,潜在変数と観測データの間の情報量を制御する項を導入し再構成と潜在表現のバランスを調整しやすくした変分オートエンコーダ
技術分野,ディープラーニングの要素技術,24,オートエンコーダ,β-VAE,変分オートエンコーダの損失でKL項にβという重みを掛け潜在変数をより独立で解釈しやすい表現にしようとする手法
技術分野,ディープラーニングの要素技術,24,オートエンコーダ,次元削減,入力データを圧縮し重要な情報だけを少数の潜在変数に写像することで低次元表現を得る処理
技術分野,ディープラーニングの要素技術,24,オートエンコーダ,事前学習,最終タスクとは別の補助的な目的であらかじめネットワークを学習させその重みを初期値として本番の学習に利用すること
技術分野,ディープラーニングの要素技術,24,オートエンコーダ,積層オートエンコーダ,オートエンコーダを層ごとに順番に学習しそれらを重ね合わせて深いネットワークとして用いる構成
技術分野,ディープラーニングの要素技術,24,オートエンコーダ,変分オートエンコーダ (VAE),潜在変数に確率分布を仮定し再構成誤差と事前分布とのずれを同時に最小化することで生成モデルとしても使えるオートエンコーダ
技術分野,ディープラーニングの要素技術,25,データ拡張,Contrast,画像のコントラストを強めたり弱めたりして明暗差を変え別パターンの学習データを増やす方法
技術分野,ディープラーニングの要素技術,25,データ拡張,Brightness,画像全体の明るさを上下させて照明条件などの違いにモデルを慣れさせるデータ拡張
技術分野,ディープラーニングの要素技術,25,データ拡張,Crop,画像の一部分を切り出して入力とすることで位置やスケールの違いに対する頑健性を高める手法
技術分野,ディープラーニングの要素技術,25,データ拡張,CutMix,二枚の画像を矩形領域で切り貼りして一枚に合成しラベルも領域の比率で混ぜるデータ拡張
技術分野,ディープラーニングの要素技術,25,データ拡張,Cutout,画像の一部の矩形領域をランダムにマスクして情報を隠し部分欠損に強いモデルにする手法
技術分野,ディープラーニングの要素技術,25,データ拡張,Mixup,二つのサンプルとラベルを線形補間して中間的な入力とラベルを作ることで決定境界をなめらかにする手法
技術分野,ディープラーニングの要素技術,25,データ拡張,noising,元のデータにガウスノイズなどの雑音を加えて多少のゆらぎに頑健なモデルを学習させる方法
技術分野,ディープラーニングの要素技術,25,データ拡張,paraphrasing,意味は同じで表現の異なる文章に言い換えたデータを生成し自然言語の学習データを増やす方法
技術分野,ディープラーニングの要素技術,25,データ拡張,RandAugument,いくつか用意された画像変換の中からランダムに種類と強さを選んで複数適用する自動データ拡張手法
技術分野,ディープラーニングの要素技術,25,データ拡張,Random Erasing,画像内のランダムな領域を選んで一様色などで塗りつぶしオクルージョンに強いモデルを目指す拡張
技術分野,ディープラーニングの要素技術,25,データ拡張,Random Flip,画像を左右や上下にランダムで反転させ向きが変わっても正しく認識できるようにする手法
技術分野,ディープラーニングの要素技術,25,データ拡張,Rotate,画像を一定範囲の角度で回転させて傾きに対するロバスト性を高めるデータ拡張
技術分野,ディープラーニングの応用例,26,画像認識,AlexNet,ILSVRC2012で従来手法を大きく上回る精度を出しディープラーニングブームのきっかけとなった畳み込みニューラルネットワーク
技術分野,ディープラーニングの応用例,26,画像認識,DeepLab,アトラス畳み込みなどを用いて空間解像度を保ちながら画素単位でクラスを割り当てるセマンティックセグメンテーションモデル
技術分野,ディープラーニングの応用例,26,画像認識,DenseNet,各層が前の全ての層の出力を入力として受け取る密結合構造を持ち勾配伝播と特徴再利用を改善した畳み込みネットワーク
技術分野,ディープラーニングの応用例,26,画像認識,EfficientNet,ネットワークの深さ幅入力解像度をバランス良くスケールさせることでパラメータ数と計算量に対して高い精度を実現したモデル群
技術分野,ディープラーニングの応用例,26,画像認識,Fast R-CNN,候補領域を一度の畳み込み特徴からまとめて処理しRoIプーリングで領域ごとの特徴を取り出すことでR-CNNを高速化した物体検出手法
技術分野,ディープラーニングの応用例,26,画像認識,Faster R-CNN,畳み込み特徴から候補領域を生成するリージョンプロポーザルネットワークを組み込みエンドツーエンドで学習可能にした物体検出モデル
技術分野,ディープラーニングの応用例,26,画像認識,FCN (Fully Convolutional Network),全結合層を畳み込みに置き換え特徴マップをアップサンプリングして画素ごとにクラスを出力するセマンティックセグメンテーション用ネットワーク
技術分野,ディープラーニングの応用例,26,画像認識,FPN,異なる解像度の特徴マップをトップダウンと横方向の結合で統合しマルチスケールな物体検出性能を高めるフィーチャピラミッドネットワーク
技術分野,ディープラーニングの応用例,26,画像認識,GoogLeNet,Inceptionモジュールと呼ばれる複数サイズの畳み込みを並列に行うブロックを積み上げ少ないパラメータで高精度を達成したCNN
技術分野,ディープラーニングの応用例,26,画像認識,Mask R-CNN,物体検出と同時に各物体ごとのマスクを予測するブランチを追加しインスタンスセグメンテーションを実現したFaster R-CNNの拡張モデル
技術分野,ディープラーニングの応用例,26,画像認識,MnasNet,モバイル端末での速度と精度のトレードオフを考慮してニューラルアーキテクチャサーチにより自動設計された軽量畳み込みネットワーク
技術分野,ディープラーニングの応用例,26,画像認識,MobileNet,深さ方向分離畳み込みを用いてパラメータ数と計算量を大幅に削減し組み込みやモバイル向けに設計された軽量CNN
技術分野,ディープラーニングの応用例,26,画像認識,NAS (Neural Architecture Search),探索アルゴリズムを用いてネットワーク構造そのものを自動探索し人手設計に頼らず高性能なアーキテクチャを得る手法
技術分野,ディープラーニングの応用例,26,画像認識,Open Pose,画像や動画から人体の関節位置を推定し複数人の姿勢を同時に推定できるポーズ推定モデル
技術分野,ディープラーニングの応用例,26,画像認識,PSPNet,複数スケールの領域プーリングでグローバルな文脈情報を取り込みシーン全体の意味理解を重視したセマンティックセグメンテーションモデル
技術分野,ディープラーニングの応用例,26,画像認識,ResNet,スキップ結合による残差ブロックを用いて非常に深いネットワークでも学習を安定させた畳み込みニューラルネットワーク
技術分野,ディープラーニングの応用例,26,画像認識,SegNet,エンコーダでのプーリング位置を保存しデコーダ側でアップサンプリングに利用するエンコーダデコーダ型セグメンテーションネットワーク
技術分野,ディープラーニングの応用例,26,画像認識,SENet,チャネル方向の重要度を推定して重み付けするSqueeze and Excitationブロックを導入し既存のCNNの表現力を高めたモデル
技術分野,ディープラーニングの応用例,26,画像認識,SSD,複数スケールの特徴マップ上で一度の推論で物体の位置とクラスを予測するシングルショット型の物体検出モデル
技術分野,ディープラーニングの応用例,26,画像認識,U-Net,U字型のエンコーダデコーダ構造とスキップ結合を持ち医用画像などで高精度なセマンティックセグメンテーションに使われるネットワーク
技術分野,ディープラーニングの応用例,26,画像認識,VGG,３×３の小さな畳み込みを深く積み重ねたシンプルな構造で知られる畳み込みネットワーク群
技術分野,ディープラーニングの応用例,26,画像認識,Vision Transformer,画像をパッチに分割しトークンとして扱いトランスフォーマーで処理する画像認識用アーキテクチャ
技術分野,ディープラーニングの応用例,26,画像認識,Wide ResNet,ResNetの層の深さを抑える代わりにチャネル数を増やして性能と学習のしやすさを両立させた残差ネットワーク
技術分野,ディープラーニングの応用例,26,画像認識,YOLO,画像をグリッドに分割し各セルから物体の位置とクラスを一括予測するリアルタイム物体検出モデル
技術分野,ディープラーニングの応用例,26,画像認識,一般物体認識,犬や車など日常にある多様なカテゴリの物体が画像中に何であるかを判別するタスクの総称
技術分野,ディープラーニングの応用例,26,画像認識,インスタンスセグメンテーション,画像内の個々の物体ごとに領域を塗り分け同じクラスでも別個体を区別してマスクを推定するタスク
技術分野,ディープラーニングの応用例,26,画像認識,姿勢推定,人や動物などの関節位置や骨格構造を画像や動画から推定しポーズを表現するタスク
技術分野,ディープラーニングの応用例,26,画像認識,セマンティックセグメンテーション,画像の各画素にクラスラベルを割り当て同じクラスの画素をまとめて領域として理解するタスク
技術分野,ディープラーニングの応用例,26,画像認識,物体検出,画像の中にある物体の位置とクラスを矩形のバウンディングボックスとして同時に推定するタスク
技術分野,ディープラーニングの応用例,26,画像認識,物体識別,入力画像に写っている物体がどのクラスに属するかを判断する分類タスク
技術分野,ディープラーニングの応用例,26,画像認識,パノプティックセグメンテーション,セマンティックセグメンテーションとインスタンスセグメンテーションを統合し全画素にクラスとインスタンスIDの両方を割り当てるタスク
技術分野,ディープラーニングの応用例,27,自然言語処理,BERT,双方向Transformerエンコーダを用いて文中の単語を前後文脈から予測する事前学習により高性能な文脈表現を得るモデル
技術分野,ディープラーニングの応用例,27,自然言語処理,BoW (Bag-of-Words),文章を単語の出現回数だけで表し単語の順序情報を無視して特徴ベクトルにする表現方法
技術分野,ディープラーニングの応用例,27,自然言語処理,CBOW,周囲の単語から中心単語を予測するタスクを通じて単語埋め込みを学習するword2vecの手法
技術分野,ディープラーニングの応用例,27,自然言語処理,CEC,LSTM内部にあるセルと呼ばれる構造で誤差や情報を内部にとどめ勾配消失を防ぐ役割を持つ部分
技術分野,ディープラーニングの応用例,27,自然言語処理,ChatGPT,大規模言語モデルを用いた対話型AIで指示に応じて文章生成要約翻訳などさまざまな自然言語タスクを行うサービス
技術分野,ディープラーニングの応用例,27,自然言語処理,ELMo,前方向と後方向のRNNを用いて文脈に応じて変化する単語表現を生成する言語モデル
技術分野,ディープラーニングの応用例,27,自然言語処理,fastText,単語を文字nグラムの集合として扱い未知語にも対応しやすい単語埋め込みと高速テキスト分類を行うモデルとライブラリ
技術分野,ディープラーニングの応用例,27,自然言語処理,GLUE,多様な自然言語理解タスクでモデルの性能を評価するために用意されたベンチマークデータセット群
技術分野,ディープラーニングの応用例,27,自然言語処理,GPT-n,Transformerデコーダ構造に基づく自己回帰型言語モデルの系列で大規模事前学習により汎用的な文章生成能力を持つモデル群
技術分野,ディープラーニングの応用例,27,自然言語処理,n-gram,連続したn個の単語や文字を一単位として扱い確率的言語モデルなどで文脈を近似的に表現する手法
技術分野,ディープラーニングの応用例,27,自然言語処理,PaLM,Googleが開発した大規模Transformerベースの言語モデルで多言語多タスクに対応するLLM
技術分野,ディープラーニングの応用例,27,自然言語処理,Seq2Seq,入力系列をエンコーダでベクトル表現に変換しデコーダで別の系列を生成するエンコーダデコーダ型モデルの枠組み
技術分野,ディープラーニングの応用例,27,自然言語処理,TF-IDF,各文章内での単語頻度と全文書中での出現頻度の逆数を組み合わせ単語の重要度を数値化する特徴表現
技術分野,ディープラーニングの応用例,27,自然言語処理,word2vec,CBOWやスキップグラムの学習を通じて単語を低次元の連続値ベクトルに埋め込むニューラルネットワークモデル
技術分野,ディープラーニングの応用例,27,自然言語処理,感情分析,テキストからポジティブネガティブなどの感情極性や感情カテゴリを自動的に判定するタスク
技術分野,ディープラーニングの応用例,27,自然言語処理,機械翻訳,ある自然言語で書かれた文を別の自然言語に自動的に翻訳するタスクやそのシステム
技術分野,ディープラーニングの応用例,27,自然言語処理,形態素解析,日本語などを単語や語幹助詞などの形態素と呼ばれる最小単位に分割し品詞や活用情報を付与する処理
技術分野,ディープラーニングの応用例,27,自然言語処理,構文解析,文中の単語同士の依存関係や句構造を解析し文法構造を木などで表現する処理
技術分野,ディープラーニングの応用例,27,自然言語処理,質問応答,文章や知識ベースをもとに自然文の質問に対して適切な答えを返すシステムやタスク
技術分野,ディープラーニングの応用例,27,自然言語処理,情報検索,大量の文書やデータからユーザのクエリに関連する文書や情報を探し出す技術やタスク
技術分野,ディープラーニングの応用例,27,自然言語処理,スキップグラム,中心単語から周囲の単語を予測するタスクで単語埋め込みを学習するword2vecの手法
技術分野,ディープラーニングの応用例,27,自然言語処理,単語埋め込み,単語を低次元の連続値ベクトルとして表現し意味的な類似性をベクトル空間上の距離で扱えるようにする技術
技術分野,ディープラーニングの応用例,27,自然言語処理,分散表現,意味情報を複数の次元に分散して持つ連続値ベクトルで単語文書などを表現する方法
技術分野,ディープラーニングの応用例,27,自然言語処理,文書要約,長い文書の重要な内容を保ったまま短いテキストに自動的にまとめるタスク
技術分野,ディープラーニングの応用例,27,自然言語処理,ワンホットベクトル,語彙数次元のうち対応する単語の位置だけ一他はゼロとする二値ベクトルによる単語表現
技術分野,ディープラーニングの応用例,27,自然言語処理,大規模言語モデル(LLM),大量のテキストで事前学習された多数のパラメータを持つTransformer系言語モデルで汎用的なテキスト生成と理解を行う
技術分野,ディープラーニングの応用例,27,自然言語処理,統計的機械翻訳,対訳コーパスから統計モデルを学習し最も確からしい訳文を探索して生成する機械翻訳手法
技術分野,ディープラーニングの応用例,28,音声処理,A-D 変換,マイクなどから得た連続的なアナログ音声信号を一定間隔でサンプリングしデジタル信号に変換する処理
技術分野,ディープラーニングの応用例,28,音声処理,WaveNet,音声波形を直接確率的に生成する畳み込みニューラルネットワークモデルで高品質な音声合成を実現する手法
技術分野,ディープラーニングの応用例,28,音声処理,音韻,ある言語で意味の違いに関わる音の体系やパターンを扱う概念で音素同士の対立や配置のルールを含む抽象的な音の単位体系
技術分野,ディープラーニングの応用例,28,音声処理,音声合成,テキストなどから人間が話しているような音声信号を人工的に生成する技術
技術分野,ディープラーニングの応用例,28,音声処理,音声認識,人間の話した音声を解析しテキスト列などの離散的な記号列に変換する技術
技術分野,ディープラーニングの応用例,28,音声処理,音素,意味の違いを区別する最小の音声単位で例えばサ行とタ行の違いなどを表す抽象的な音のカテゴリ
技術分野,ディープラーニングの応用例,28,音声処理,隠れマルコフモデル,観測されない内部状態がマルコフ過程に従い各状態から確率的に観測が生じると仮定した確率モデルで音声認識などに用いられる
技術分野,ディープラーニングの応用例,28,音声処理,感情分析,声の高さ強さ話速などの特徴から話し手の喜び怒りなどの感情状態を推定するタスク
技術分野,ディープラーニングの応用例,28,音声処理,高速フーリエ変換 (FFT),時間領域の信号を効率よく周波数成分に分解するアルゴリズムで音声のスペクトル解析に用いられる
技術分野,ディープラーニングの応用例,28,音声処理,スペクトル包絡,音声スペクトルの細かい山谷を平均化し大まかな形だけを取り出したものでもとの声道特性を表す曲線
技術分野,ディープラーニングの応用例,28,音声処理,パルス符号変調器 (PCM),アナログ信号を一定間隔でサンプリングし量子化した値をデジタル符号として表現する方式
技術分野,ディープラーニングの応用例,28,音声処理,フォルマント,母音などの音色を決める声道の共鳴によるスペクトルの強いピーク
技術分野,ディープラーニングの応用例,28,音声処理,フォルマント周波数,フォルマントが現れる周波数の位置を指し母音の違いなどを区別する重要な音響パラメータ
技術分野,ディープラーニングの応用例,28,音声処理,メル周波数ケプストラム係数 (MFCC),人間の聴覚特性に近いメル尺度上でフィルタバンクを適用し対数と離散コサイン変換を行って得る音声特徴量
技術分野,ディープラーニングの応用例,28,音声処理,メル尺度,周波数を人間の高さの感じ方に近い非線形な尺度に変換したもので低周波数ほど細かく高周波数ほど粗く表す尺度
技術分野,ディープラーニングの応用例,28,音声処理,話者識別,音声信号から誰が話しているかを判定したり登録された話者の中から本人を特定したりするタスク
技術分野,ディープラーニングの応用例,28,音声処理,CTC,入力長と出力長が異なる系列に対してアライメントを明示せずに学習できる損失関数で音声認識などで文字列を直接学習する際に用いられる
技術分野,ディープラーニングの応用例,29,深層強化学習,A3C,複数のエージェントを並列に走らせ勾配を非同期に共有しActor Criticを学習する深層強化学習手法
技術分野,ディープラーニングの応用例,29,深層強化学習,Agent57,アタリ五十七ゲーム全てで人間超えを達成することを目標に多様な探索戦略や分布型価値関数を組み合わせたエージェント
技術分野,ディープラーニングの応用例,29,深層強化学習,APE-X,優先度付き経験再生と分散学習を組み合わせ多くのワーカーからサンプルを集めて効率的に学習するDQN系の手法
技術分野,ディープラーニングの応用例,29,深層強化学習,DQN,画像入力などを畳み込みネットワークで処理しQ値を近似することで高次元状態の行動価値学習を実現した深層強化学習手法
技術分野,ディープラーニングの応用例,29,深層強化学習,OpenAI Five,五体のエージェント協調によってDota2をプレイし人間トップチームと対戦したOpenAIの深層強化学習システム
技術分野,ディープラーニングの応用例,29,深層強化学習,PPO,方策勾配の更新幅をクリッピングして学習を安定させる比較的実装が簡単でよく使われる方策最適化手法
技術分野,ディープラーニングの応用例,29,深層強化学習,Rainbow,DQNにダブルDQNやデュエリングネットワーク分布型価値学習など複数の改良要素を統合した手法
技術分野,ディープラーニングの応用例,29,深層強化学習,RLHF,人間のフィードバックから得た好みや評価を報酬モデルとして学習しその報酬を用いて方策を改善する強化学習の枠組み
技術分野,ディープラーニングの応用例,29,深層強化学習,sim2real,シミュレータ上で学習した方策を実世界のロボットなどに移す技術やその際の分布ギャップを埋める工夫の総称
技術分野,ディープラーニングの応用例,29,深層強化学習,アルファスター(AlphaStar),リアルタイムストラテジーゲームStarCraft IIで人間プロプレイヤーと互角以上に戦った深層強化学習エージェント
技術分野,ディープラーニングの応用例,29,深層強化学習,オフライン強化学習,環境からのオンラインな相互作用を行わず事前に集めた固定データのみを使って方策を学習する設定
技術分野,ディープラーニングの応用例,29,深層強化学習,残差強化学習,既存の制御器や方策に対してニューラルネットで残差となる補正成分だけを学習し性能を向上させる手法
技術分野,ディープラーニングの応用例,29,深層強化学習,状態表現学習,観測から方策学習に適した低次元かつ意味のある内部状態をニューラルネットなどで獲得すること
技術分野,ディープラーニングの応用例,29,深層強化学習,ダブル DQN,最大値推定のバイアスを減らすため行動選択と価値評価を別ネットワークで行うDQNの改良版
技術分野,ディープラーニングの応用例,29,深層強化学習,デュエリングネットワーク,状態の価値と各行動のアドバンテージを別々の枝で推定し行動価値を合成するネットワーク構造
技術分野,ディープラーニングの応用例,29,深層強化学習,ドメインランダマイゼーション,シミュレーション環境の物理パラメータや見た目をランダムに変化させて学習し実環境のばらつきへの頑健性を高める方法
技術分野,ディープラーニングの応用例,29,深層強化学習,ノイジーネットワーク,重みに確率的なノイズを注入し行動選択時の探索をパラメトリックに実現するニューラルネットワーク
技術分野,ディープラーニングの応用例,29,深層強化学習,報酬成形,学習を進めやすくするため元の報酬に補助的な報酬やペナルティを加えて設計し直すこと
技術分野,ディープラーニングの応用例,29,深層強化学習,マルチエージェント強化学習(MARL),複数のエージェントが同じ環境で相互作用し協調や競合を通して方策を学習する強化学習の枠組み
技術分野,ディープラーニングの応用例,29,深層強化学習,連続値制御,ロボットの関節角度や速度など連続的な行動を選択する制御問題を強化学習で扱うこと
技術分野,ディープラーニングの応用例,30,データ生成,CycleGAN,ペアデータなしで二つのドメイン間の画像変換を学習するために循環一貫性損失を用いる画像変換用GAN
技術分野,ディープラーニングの応用例,30,データ生成,DCGAN,畳み込み層と逆畳み込み層を用いて画像生成に特化した深層畳み込み型GAN
技術分野,ディープラーニングの応用例,30,データ生成,Diffusion Model,ノイズ付加とノイズ除去の過程を学習しランダムノイズから高品質な画像などを生成する確率的生成モデル
技術分野,ディープラーニングの応用例,30,データ生成,NeRF,三次元空間の各点の色と密度をニューラルネットで表現し任意視点からの画像を生成するニューラルラジアンスフィールド手法
技術分野,ディープラーニングの応用例,30,データ生成,Pix2Pix,対応する入力画像と出力画像のペアを用いて条件付きGANで画像から画像への変換を学習する手法
技術分野,ディープラーニングの応用例,30,データ生成,音声生成,テキストや潜在ベクトルから人間の声のような音声波形を出力する生成タスクおよびその技術
技術分野,ディープラーニングの応用例,30,データ生成,画像生成,ランダムベクトルやテキスト条件などから意味のある画像を新たに作り出す生成タスク
技術分野,ディープラーニングの応用例,30,データ生成,敵対的生成ネットワーク (GAN),生成器と識別器という二つのニューラルネットを競わせながら学習させデータ分布を模倣する生成モデル
技術分野,ディープラーニングの応用例,30,データ生成,文章生成,言語モデルなどを用いて与えられた条件や文脈に続く自然なテキストを出力するタスク
技術分野,ディープラーニングの応用例,31,転移学習・ファインチューニング,Few-shot,ごく少数のラベル付きサンプルだけから新しいタスクやクラスに適応して学習する設定
技術分野,ディープラーニングの応用例,31,転移学習・ファインチューニング,One-shot,各クラス一つなどほとんど一例だけのサンプルから新しいクラスを識別できるようにする極端な少数データ学習
技術分野,ディープラーニングの応用例,31,転移学習・ファインチューニング,自己教師あり学習,ラベルを使わず入力データから自動生成した擬似タスクを用いて表現を学習する手法
技術分野,ディープラーニングの応用例,31,転移学習・ファインチューニング,事前学習,大規模データで汎用的な特徴抽出器としてモデルをあらかじめ学習させその後別タスクに転用すること
技術分野,ディープラーニングの応用例,31,転移学習・ファインチューニング,事前学習済みモデル,大規模データで事前学習され重みが公開されておりその重みを初期値として別タスクに再利用できるモデル
技術分野,ディープラーニングの応用例,31,転移学習・ファインチューニング,破壊的忘却,新しいタスクを学習した際に以前習得したタスクの性能が大きく失われてしまう現象
技術分野,ディープラーニングの応用例,31,転移学習・ファインチューニング,半教師あり学習,少量のラベル付きデータと大量のラベルなしデータを併用して学習する枠組み
技術分野,ディープラーニングの応用例,32,マルチモーダル,CLIP,大量の画像とテキストのペアから対比学習により共通埋め込み空間を学習しゼロショット画像認識などを可能にしたモデル
技術分野,ディープラーニングの応用例,32,マルチモーダル,DALL-E,テキスト条件から対応する画像を生成できるように訓練されたTransformerベースのテキストツーイメージモデル
技術分野,ディープラーニングの応用例,32,マルチモーダル,Flamingo,画像とテキストの両方を扱い少数の例示だけでさまざまな視覚言語タスクに適応できるように設計されたビジョンランゲージモデル
技術分野,ディープラーニングの応用例,32,マルチモーダル,Image Captioning,入力画像に対してその内容を説明する自然文のキャプションを自動生成するタスク
技術分野,ディープラーニングの応用例,32,マルチモーダル,Text-To-Image,テキストによる指示や説明文を入力としてそれに合致する画像を生成するタスク
技術分野,ディープラーニングの応用例,32,マルチモーダル,Visual Question Answering,画像と質問文を入力として画像内容に基づく答えを出力するタスク
